code,unit,amount,price,stock_hyogo,stock_saitama,stock_other,aprox_delivery_time,company,stock_japan
A0001,G,25.0,6200.0,True,True,True,3 day(s),TCI,in-stock
A0001,G,500.0,43800.0,True,True,True,3 day(s),TCI,in-stock
A0002,G,25.0,14800.0,True,True,True,3 day(s),TCI,in-stock
A0003,G,100.0,8200.0,False,False,False,3 day(s),TCI,on-demand
A0003,G,25.0,2800.0,True,True,True,3 day(s),TCI,in-stock
A0003,G,500.0,26100.0,True,True,False,3 day(s),TCI,in-stock
A0004,G,100.0,48800.0,True,True,True,3 day(s),TCI,in-stock
A0004,G,25.0,14800.0,True,True,True,3 day(s),TCI,in-stock
A0005,G,25.0,10500.0,True,True,True,3 day(s),TCI,in-stock
A0005,G,5.0,3100.0,True,True,False,3 day(s),TCI,in-stock
A0006,ML,25.0,3900.0,True,True,True,3 day(s),TCI,in-stock
A0007,G,25.0,2000.0,True,True,True,3 day(s),TCI,in-stock
A0007,G,500.0,9000.0,True,True,True,3 day(s),TCI,in-stock
A0008,G,25.0,2300.0,True,True,True,3 day(s),TCI,in-stock
A0008,G,500.0,12900.0,True,True,True,3 day(s),TCI,in-stock
A0009,G,25.0,7800.0,True,True,True,3 day(s),TCI,in-stock
A0009,G,5.0,2700.0,True,True,True,3 day(s),TCI,in-stock
A0011,G,25.0,81500.0,True,True,True,3 day(s),TCI,in-stock
A0011,G,5.0,23100.0,True,True,True,3 day(s),TCI,in-stock
A0012,G,25.0,6600.0,True,True,True,3 day(s),TCI,in-stock
A0013,G,25.0,3300.0,True,True,True,3 day(s),TCI,in-stock
A0013,G,500.0,29900.0,True,True,True,3 day(s),TCI,in-stock
A0014,G,25.0,4700.0,True,True,True,3 day(s),TCI,in-stock
A0015,G,100.0,7600.0,True,True,True,3 day(s),TCI,in-stock
A0015,G,25.0,2900.0,True,True,True,3 day(s),TCI,in-stock
A0015,G,500.0,23300.0,True,True,True,3 day(s),TCI,in-stock
A0018,G,25.0,3800.0,True,True,True,3 day(s),TCI,in-stock
